slide_id,process_patches,status_patches,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn,level0_mag,mag_level,patch_level,patch_size,step_size,custom_downsample,save_patch,process_features,status_features,process_hovernet,status_hovernet,bag_size,process_tar
C3L-02127-24.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,6712.0,
C3L-02127-25.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3251.0,
C3L-02127-26.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,4406.0,
C3L-02130-21.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,18635.0,
C3L-02130-22.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,13564.0,
C3L-02130-23.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,16616.0,
C3L-02130-24.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,18024.0,
C3L-02130-25.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,9900.0,
C3L-02130-26.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3701.0,
C3L-02163-21.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,5352.0,
C3L-02163-22.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,4440.0,
C3L-02163-23.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,4179.0,
C3L-02163-24.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,11900.0,
C3L-02163-25.svs,0,processed,3,8,7,4,False,none,none,1.0,1.0,8,3,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,9062.0,
C3L-02164-21.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,5050.0,
C3L-02164-22.svs,0,processed,2,8,7,4,False,none,none,1.0,1.0,8,2,100,True,four_pt,20,20,0,256,256,1,True,0,processed,1,tbp,3394.0,
